Method : witten_bell
	Ngram_Order : 9	accuracy:  92.67%; precision:  75.65%; recall:  74.34%; FB1:  74.99
Method : presmoothed
	Ngram_Order : 1	accuracy:  88.84%; precision:  55.51%; recall:  60.04%; FB1:  57.68
	Ngram_Order : 2	accuracy:  92.65%; precision:  78.41%; recall:  74.24%; FB1:  76.27
	Ngram_Order : 3	accuracy:  90.74%; precision:  64.81%; recall:  71.40%; FB1:  67.95
	Ngram_Order : 4	accuracy:  89.97%; precision:  62.28%; recall:  72.50%; FB1:  67.01
	Ngram_Order : 5	accuracy:  90.00%; precision:  62.36%; recall:  72.14%; FB1:  66.89
	Ngram_Order : 6	accuracy:  90.12%; precision:  62.91%; recall:  72.59%; FB1:  67.40
	Ngram_Order : 7	accuracy:  90.04%; precision:  62.53%; recall:  72.04%; FB1:  66.95
	Ngram_Order : 8	accuracy:  90.07%; precision:  62.77%; recall:  71.86%; FB1:  67.01
	Ngram_Order : 9	accuracy:  90.30%; precision:  64.39%; recall:  71.59%; FB1:  67.80
Method : unsmoothed
	Ngram_Order : 1	accuracy:  88.84%; precision:  55.51%; recall:  60.04%; FB1:  57.68
	Ngram_Order : 2	accuracy:  92.60%; precision:  78.39%; recall:  74.15%; FB1:  76.21
	Ngram_Order : 3	accuracy:  92.55%; precision:  76.55%; recall:  74.52%; FB1:  75.52
	Ngram_Order : 4	accuracy:  92.67%; precision:  77.15%; recall:  74.89%; FB1:  76.00
	Ngram_Order : 5	accuracy:  92.83%; precision:  77.35%; recall:  74.79%; FB1:  76.05
	Ngram_Order : 6	accuracy:  92.69%; precision:  76.72%; recall:  74.61%; FB1:  75.65
	Ngram_Order : 7	accuracy:  92.61%; precision:  76.24%; recall:  74.43%; FB1:  75.32
	Ngram_Order : 8	accuracy:  92.44%; precision:  75.90%; recall:  73.60%; FB1:  74.73
	Ngram_Order : 9	accuracy:  92.67%; precision:  76.68%; recall:  74.15%; FB1:  75.40
